project_year,project_id,country_application,country_application_name,country_impact,country_impact_name,orig_country_application,orig_country_application_name,orig_country_impact,orig_country_impact_name,change_comment,project_name,institution,project_location_1,project_location_2,is_deleted,delete_comment,sectors,project_summary,project_details,project_details_other
2012,1,CD,"Congo, the Democratic Republic of the",CD,"Congo, the Democratic Republic of the",CD,"Congo, the Democratic Republic of the",CD,"Congo, the Democratic Republic of the",,Training The women Social leaders  sensitive active on Women Leaderships development,Maniema Province/Congo Dem Republic,,"Congo, The Democratic Republic of The",0,,[''],"The project will span the spectrum from regional training programs in gender, human rights, violence's against women and children, discrimination, exclusion, domestic violences, tortures, participatory dissemination, equity, equality, inclusion, sustain development, HIV / Aids and environmental management and vision to change and decision making to the means of workshops,seminars and debates",,"
Gender imbalance is one of the key factors propagating poverty lack of ownership and control over production assets such as land by women is a factor that contributes to poverty. Also some traditions do not allow women to even have poverty registered in their names. This in turn limits their access to, education, information, communication, participatory, owner-women leadership democracy women status level, credit facilities due to take of collateral or security. It has been note that in many societies, material poverty interacts with gender based discriminations o that poor women's level of health, education and social participation are even lower than their male counterparts.The project will contribute to the carpe results, which need to provide and promote continuous professional development of gender equity education and training, man and women social leaders staff in order to adequately prepare them to facilitate the skills knowledge and attitudes required of secondary level students, not only for the demands of foster gender equity but also for their own further formation and self development. It integrates economic, physical environment community and human development in a comprehensive and coordinated fashion so that families and communities can work together and thrive. By increasing equity, capacity reducing exclusion discriminality and contributing at long term development, promote the lively hood of beneficiaries: 60 % of them will develop new skills, they will contribute to rising their simulation, reducing the root causes of their manipulation, poverty and helped them acquire citizenship, gender equity leadership development and apply the income generating activities in puts higher their social status and greater bargaining power.
In the project ongoing each program should follow a clear rational, should ideally strategic nature, root cause, of problems, gender disability, violences, like greed, economic deprivation, poverty, ignorance, self defense, cultural deprivation child abuse, maltreatment, women abuse, sexual violation, undervaluing or absence of valuing life, religious extremism, deterrence and access to weapons

The objectives that will be achieved are, monitoring, reporting and pleading, disseminating general information about gender disability reinforcing capacity of social leaders to make action, developing policy and plan that mitigate the impact of gender disability. These objectives will act as catalysts mobilize knowledge, skills, leadership and initiatives within a diverse global community to identify and eliminate the conditions that lead to massive women rights violence and gender disability.
It's important the women to be taken out of ignorance, because that is what binds them to poverty, diversities and others neglected. Once they re enlightened in terms of knowledge and information, it becomes easier to work with them for their betterment, by  empowering with understanding of women capacity for creativity, for political innovation, and for lives of peace full service to advance women dignity in every area of social life. The gender disability which affect us collectively and we must act collectively, to change them by integrating participatory, democracy gender, race, class, ethnic and setting permanent programs educate and training them and others vulnerable. This project will involve women in management and monitoring of basic house holder, health, environment and education service in community, in order to provide humanitarian aid to the neediest communities. By empowering the women to act participatory approaches provide the framework for formulating women simulation, inclusion, an important initiative of the program which can help women in poor households organize themselves for collective action, under supervision of women status. This training does not only take place in the training sale, or class room, but also in the field (village per village, site per site) practically and through exchange of experiences.

A training program for peer education, members is a guarantee of better democratic control and efficiency within the better organization to reach the main results, in education and training the women social leaders to develop self help leadership groups, laws and policy initiatives. By end those formed women to be capable of developing methods to communicate to all levels, general meeting, committees and working groups are the first instruments of the small publications in local languages reinforce the communication policy, women rights and citizen laws, decision making. The first priority in revitalizing distressed communities is to train the trainer's leader's women their sensitizing, information and education will empower opportunities: jobs equity, equality and works for all families or societies. The women education and training the trainer's women, both within the community and throughout the region or country provide the foundation on which families or societies will become economically self â€“ sufficient and communities can revitalize themselves.

Because educating a woman, is to educate all nations.

Women opportunities for entrepreneurial initiatives, small business, expansion and training for jobs that after up ward mobility one other key elements for providing livelihood, householder economic, this is mainly done through empowering the communities as well as individually  like women leadership by mitigating social exclusion focuses on the processes of marginalization specifically  it refers to the societal and institutional processes that exclude certain groups like women from full participation in the social economic, cultural and political life of societies.

While it is true that a person can be economically deprived without being socially excluded, social exclusion may lead to economic poverty directly, by means of lacking social net works, that provide opportunities, or indirectly via disparities in the power structures of social.

Which are the first critical steps toward the creation of a livable and vibrant community, where human initiative work and stable families can flourish

However, economic development can only be success full when part of a coordinated and comprehensive strategy that includes women physical development as well as human development is used. All societies  are built from women, social groups rather that individuals, and these groups determine attitudes, belief identities and values as well as access to resources and opportunities and ultimately. The expansion of assets and capabilities of women to participate in negotiate with influence, control and hold accountable institutions that affect their lives.

It is clear that power, as access to positions and institution that allow women to influence change for the interests of their groups is a requisite for the acquisition of voice in society, women social capital, social support and social net works can play an important role in world change to day. Promoting world change by promoting sustainable development, these are mainly done through empowering the communities as well as individuals, especially the women. Once the change reached the  focus must be on moving quickly from human rights and humanitarian relief to longer â€“ tram development under logic of the world changing application targed, some of these are interrelated and same could be partially causing others, for instance education and training, gender equality and equity, householder, property land procession women poverty could be also empower facilities and so to out women employment, women entrepreneurship, women mobilization and  net working, women participation in decision making fighting all violences against women, fighting HIV/AIDS, sustain development and promoting environment. The knowledge seeking, education training and problem solving objectives of women rights political science imply needs for implentational institutions, improved women participatory to words poverty reduction.

The programs to engage the activities and reach, the concert results action in training, education, consultations and action to empower gender equity and advancement of women rights at every level with the below programs â€“ activities and results.

Research and discovery activity: monitoring and reporting result: sensitizing of proximity and counseling.

Program, Identification of the root causes of gender disability activity: dissemiting general information about gender â€“ result documentations and orientation.

Program information, education, and communication, activity reinforcing capacity of social women trainers and trained leaders to take action: results: workshop â€“ seminars, debates.

Program women leadership development: activity â€“ reinforcing the status of women â€“ results. Integrating  women participatory, democracy, gender equity and equality race and class.

Program, Improving laws controls â€“ activity developing policy and plan that mitigate the impact of gender disability result law policy initiatives.

By end the final results will make the effort to bring about gender equity and equality by empower the women leadership development located in

-	Access to information

-	Inclusion and participation

-	Accountability

-	Local and national organizational capacity 

-	Improved local and national governance

-	Pro poor market development

-	Access to justice and legal aid

-	Economic growth

-	Improving the social environment and abilities of the poor

-	Strategic vision for change

To bring about gender disability from the local community the human kind as a whole our intervention are taken to be configuration of purposive social relationships that arise in response to human needs and aspirations by creating effective partnerships, effective consultation and stake holder engagement, to train trainers in gender equity sensitive active non violence, non discrimination, non exclusion by facilitation mediation training coaching, leadership, speaking human rights and gender equity network participative in all moment.

Our awareness raising activities during the project set out we must address  new message and vision to our groups and invited communities, local authorities, civil and policy  in order to address option empower them by providing the necessary gender equity prevention methods. In our expansion strategy we aimed at increasing equity capacity, reducing exclusion and contributing to promote minimal level of existence

"
2012,2,IN,India,IN,India,IN,India,IN,India,,INCLSIVE PLAN TRIBAL WOMEN,MADHYA PRADESH,,India,0,,[''],To avail fully furnished residential Education facilities to girls of Low Female Tribal Literacy Pockets till their Higher Education along with Vocational Training and Quality Education+ care. In parallel is a Bridge programme for women in the same tribal pocket by providing Adult Education and strengthening through providing them enterpreneur as well agriculture guidance.,,"
\Eduction is the manifestation of the perfection already in the man\""
Thats with the target population of my welfare idea"""
2012,3,IQ,Iraq,IQ,Iraq,IQ,Iraq,IQ,Iraq,,Income-generating projects for women,Iraqi civil society organizations and with the support of donors,,Iraq,0,,[''],": Since the woman has plague the many wars and the events became Msolatha more to Inha became a widow and the family breadwinner for children and this needs to stop community will not the government powerless to bridge the expenses for them to Dkhavh size of the widows and the lack of employment opportunities Baamkanna provided by donors is income-generating projects



",,"
The fact that the feminist element is a key partner to build a society we must give them part of his rights to live
Through the work provided to them through our
Implementation of similar work by this"
2012,4,SG,Singapore,SG,Singapore,SG,Singapore,SG,Singapore,,Young Women Enterprise @ Bhutan,Bhutan,,Singapore,0,,[''],"'Young Women Enterprise' @ Bhutan - aims to facilitate the set up of grass-root micro business owned by young women, generate employment and support rural communities, in the form of training, competition and seed capital.",,"
We're the change we wish to see in this world.
As a women from emerging country and social entrepeneur myself, I truly believe women are not the 'cause' of poverty but the 'solutions' themselves. "
2012,5,TN,Tunisia,TN,Tunisia,TN,Tunisia,TN,Tunisia,,integration in national bisness,tunisia,,Tunisia,0,,[''],including the woman in companie for example in production for the tradutional product or agriculture in her house .. and also integration in national culture..,,"
humain raise, sociological , ingeneering software"
2012,6,TZ,"Tanzania, United Republic of",TZ,"Tanzania, United Republic of",TZ,"Tanzania, United Republic of",TZ,"Tanzania, United Republic of",,Increase demand for and Delivery of quality PMTCT Services using a Family-Centered approach in Mbulu,Mbulu Tanzania,,"Tanzania, United Republic of",0,,[''],"CSYM and her three partner community-based organizations will draw on lessons from the current PMTCT program and on the strengths from other community service delivery programs and create a family-centered approach to address stigma and barriers to uptake of prevention of mother-to-child transmission interventions. Male acceptance is a key in PMTCT uptake in these communities.  Trained community volunteers will ensure men are educated on and accept PMTCT, ensure women receive antenatal and on-going care, and empower families to access prevention services-(namely:CSYM,BAKWATAand TECDEN)",,"
MEN SHOULD ADOPT:To reduce number of new HIV infections through primary prevention with the main activities will include provision of education on PMTCT to all household members stressing the importance of ensuring the birth of HIV negative children.

Providing PMTCT education to men in men-only settings to ensure the message goes through;Initiation and support of mothers' groups who will act as a support and check to each other(FoLU)


RIGHTS OF CHILDREN TO LIFE
In my own thought I think all children are expected to be given among all the things the rights to living. They have also rights have their decisions honored and a right to play and know their legal rights to live where there is no opportunities that are there rights.



"
2012,7,CM,Cameroon,CM,Cameroon,CM,Cameroon,CM,Cameroon,,The increase production of soyabeans pap and soyabeans tea with moringa oleifera in powder form.,Cameroon,,Cameroon,0,,['']," The project seeks to contribute to the Millennium Development Goals, as to reduce extreme poverty and hunger through the fight against malnutrition of  children and poor families , promote gender equality and empower women. It shall help the promoter to industrialize the activity actually only mechanized;so as to be able to meet the needs of all( at home, the children in schools, prisons etc... ",,"
\Life is a struggle\""""
From my own experience
The inspiration came up during my professional internships as a student senior assistant social welfare officer of the National Institute of Social Work at the Bamenda Central Prison and in a private institution taking care of street children in 2007 and 2008. In fact in each of these institutions, I realized that children were undernourished and were developing many ills like stomach aches,diarrhea and other related diseases.Also, the various runaways and delinquency of those children were due to famine and poverty of their families. Being tough on how to make a very rich pap for children, elderly people and others, I developed the dream to make it and share to all those children suffering from extreme hunger, selling to the population and train families or individuals that wish to generate some revenues on the activity. Later on in my  private studies,and while producing with the small money i had, and selling, i discovered a miraculous medicinal and nutritive plant called Moringa and thought that it could more enrich the product and solve thus many health problems.  

"
2012,8,EG,Egypt,EG,Egypt,EG,Egypt,EG,Egypt,,A step for Egypt,"Suez,Cairo,Giza,Alexandria",,Egypt,0,,[''],"A project to support women, especially widows and those supporting big families with low income,it will also support young artists of handmade goods and it'll market for the local long forgotten small industries and handmade arts of Egypt. ",,"
I took the road not taken and it made all the difference 




Robert Burns poem:The road not taken
mostly inspired by nature,children,poetry,music,meditation and more"
2012,9,,,,,,,,,,Protecting the Rights of Working Women,Palestine- West Bank- Hebron,,,0,,[''],"The proposed projects aims at protecting the rights of working women who work in small factories in Hebron to the south of West Bank.

There are hundreds of working women who work in very difficult situation represented in working for long hours for low wages, and with violations for their rights. These women work with no contracts nor health insurances and no paid holidays.



",,
2012,10,GH,Ghana,GH,Ghana,GH,Ghana,GH,Ghana,,women wealth creation,"tamale ,Ghana",,Ghana,0,,[''],"Association for development (Assodev) opertates wealth creation program with about 500 to 1000 women in various gr0ups.This women are introduced to savings and at the end of the month Assodev add them an additional amount to increase their small businesses. The profit is added to the capital.

This project is a package aimed at bringing a relief to the impoverished housewives at the rural areas.",,"
If you educate a women you educate a Nation but if you educate a man you educate and individual Said (Dr. Kwame Nkrumah)the first President of Ghana.I women have multiple responsibilities as compared to man counterparts.periods of pregnancy to child birth is a great situation. She needs resources, access to health facilities,good food to eat,better support,care from her husband, clothing. At the time of child birth, the trauma can't be imaged, quantified, is so great. After birth she needs the take absolute care of the little kit to maturity.

Womem desireves more than what we do for them.The girl child is as equal the their male counterparts or at time even greater, most areas girls are more brilliant in the classrooms than boys,but due to old cultures, traditions this humble ones are completely deprived access to education.We have seen women Presidents, like Margret Thatacher of Britain, Sirleaf Johnson of Liberia and the rest. In Ghana we have seen women ministers performing greatly than male Ministers.

Therefore, women needs to be enterprising to cater for their families. 
1971-05-12 00:00:00"
2012,11,IN,India,IN,India,IN,India,IN,India,,Hamdard,Pulwama Kashmir India,,India,0,,[''],"Jammu and Kashmir is aconflict affected state adminstered by India. During the last 22 years approximately one lac people were killed and about 10000 people have been disappeared.During these years the most affected group was women. There young ones, nears and deras were killed or disappeared. We are going to empower these affected group in education, economy and health sectors. Poverty is one of ",,"
As women group are most voulnerable particularly in conflict situation. If female are empowered whole family has been empowered"
2012,12,TZ,"Tanzania, United Republic of",TZ,"Tanzania, United Republic of",TZ,"Tanzania, United Republic of",TZ,"Tanzania, United Republic of",,Women Workshop,Buhangija Shinyanga Tanzania,,"Tanzania, United Republic of",0,,[''],".    Ownership:

      This business was started with the objective of giving gainful employment to women of the Shinyanga municipal area, so as to help them to provide for their family needs. The original intention was to run it as a small corporation, with ownership held by the members. That would necessitate filing with the government for incorporation and drafting corporate guidelines that de",,"
objectively of giving gainful employment to women of the Shinyanga municipal area, so as to help them to provide for their family needs. "
